TYPE;CONF_PATH;MODULE;VERSION
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/package.json;mongoose;~4.0.2
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;bower;~1.3.12
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;brunch;~1.7.20
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;coffee-script;~1.6.3
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;coffee-script-brunch;~1.7.3
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;javascript-brunch;~1.7.1
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;css-brunch;~1.7.0
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;less-brunch;~1.7.2
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;stylus-brunch;~1.7.0
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;jade;~0.33.0
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;jade-angularjs-brunch;~0.0.6
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;auto-reload-brunch;~1.7.8
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;clean-css-brunch;~1.7.2
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;jasmine-core;~2.3.4
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;requirejs;~2.1.17
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;uglify-js-brunch;~1.7.8
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-chrome-launcher;~0.1.12
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-coffee-preprocessor;~0.0.4
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-firefox-launcher;~0.1.6
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-html2js-preprocessor;~0.1.0
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-jasmine;~0.3.5
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-ng-scenario;~0.0.2
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma;~0.9.8
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-phantomjs-launcher;~0.1.4
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-requirejs;~0.2.2
NPM;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/package.json;karma-script-launcher;~0.1.0
NPM;/opt/centralist/Development/Tool_Synchronizer/NodeJS/Tool/synchronizer/package.json;mongodb;~2.0.33
NPM;/opt/centralist/Development/Tool_Synchronizer/NodeJS/Tool/synchronizer/package.json;underscore;~1.8.3
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;console-polyfill;~0.1.2
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;jquery;~2.0.3
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;bootstrap;~3.0.3
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular-bootstrap;~0.10.0
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular-ui-utils;~0.1.0
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;Angular-localStorage;~0.1.7
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular;~1.2.9
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular-sanitize;~1.2.9
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular-resource;~1.2.9
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular-route;~1.2.9
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular-cookies;~1.2.9
BOWER;/opt/centralist/Development/Application_CentraList/NodeJS/Application/centralist/front/bower.json;angular-mocks;~1.2.9
